District,Male,Female,Total
Tegalsari,50843,50873,101716
Genteng,29387,29886,59273
Bubutan,50909,50903,101812
Simokerto,48905,48808,97713
Pabean Cantikan,41419,40964,82383
Semampir,92390,90141,182531
Krembangan,58136,57502,115638
Kenjeran,74597,72160,146757
Bulak,20446,20196,40642
Tambaksari,108625,108475,217100
Gubeng,67403,69218,136621
Rungkut,52120,51926,104046
Tenggilis Mejoyo,27386,27475,54861
Gunung Anyar,26188,25932,52120
Sukolilo,52445,52448,104893
Mulyorejo,41178,41595,82773
Sawahan,100426,101295,201721
Wonokromo,79629,80335,159964
Karangpilang,35382,34940,70322
Dukuh Pakis,29245,29184,58429
Wiyung,33220,32522,65742
Wonocolo,39299,39038,78337
Gayungan,22104,21988,44092
Jambangan,23986,23562,47548
Tandes,44757,44712,89469
Sukomanunggal,49067,48842,97909
Asemrowo,22068,20905,42973
Benowo,28145,27609,55754
Lakarsantri,27042,26430,53472
Pakal,24716,23768,48484
Sambikerep,29522,29044,58566
